Groups,Participant Number,Age group,Adaptive,Error,Asked Experimenter,Participant_utterance_what,Participant_utterance_why,Robot's utterance,Paticipant's action,Success,Order
4,81,student,1,out-of-range,0,0,1,2,5,1,1
4,82,student,1,out-of-range,1,0,1,4,3,0,1
4,83,student,1,out-of-range,2,0,1,2,4,1,1
4,84,student,1,out-of-range,0,0,2,2,3,1,2
4,85,student,1,out-of-range,0,0,1,3,6,0,1
4,86,student,1,out-of-range,1,0,1,2,4,1,1
4,87,student,1,out-of-range,1,0,1,2,3,1,1
4,88,student,1,out-of-range,0,0,1,2,3,1,1
4,89,student,1,out-of-range,0,0,1,2,3,1,1
4,90,student,1,out-of-range,0,0,1,3,6,1,1
4,91,student,1,out-of-range,2,0,1,2,11,0,1
4,92,student,1,out-of-range,0,0,1,2,3,1,1
4,93,student,1,out-of-range,0,0,2,3,5,0,2
4,94,student,1,out-of-range,0,0,1,2,3,1,1
4,95,student,1,out-of-range,0,0,1,3,5,0,1
4,96,old,1,out-of-range,0,0,1,3,2,0,2
4,97,old,1,out-of-range,0,1,2,3,3,1,2
4,98,old,1,out-of-range,5,3,0,3,4,0,2
4,99,old,1,out-of-range,1,1,1,3,6,1,1
4,100,old,1,out-of-range,0,1,0,3,3,0,1
4,76,student,0,wrong cube,1,1,1,2,2,0,2
4,77,student,0,wrong cube,0,0,0,1,1,1,2
4,78,student,0,wrong cube,1,1,1,2,2,0,1
4,79,student,0,wrong cube,1,0,0,1,3,0,1
4,80,student,0,wrong cube,0,1,1,2,2,0,2
4,81,student,0,wrong cube,3,0,1,2,2,0,2
4,82,student,0,wrong cube,0,0,2,2,2,0,2
4,83,student,0,wrong cube,0,0,1,2,3,1,2
4,84,student,0,wrong cube,1,0,1,1,2,0,1
4,85,student,0,wrong cube,0,0,1,2,2,0,2
4,86,student,0,wrong cube,1,1,1,2,3,1,2
4,87,student,0,wrong cube,0,1,0,2,3,0,2
4,88,student,0,wrong cube,0,1,0,2,3,0,2
4,89,student,0,wrong cube,0,1,1,2,2,0,2
4,90,student,0,wrong cube,0,0,0,1,2,0,2
4,91,student,0,wrong cube,0,1,0,2,3,0,2
4,92,student,0,wrong cube,0,1,0,2,3,0,2
4,93,student,0,wrong cube,0,0,1,2,4,0,1
4,94,student,0,wrong cube,0,0,2,2,2,0,2
4,95,student,0,wrong cube,0,1,1,2,2,1,2
4,96,old,0,wrong cube,3,0,0,1,1,0,1
4,97,old,0,wrong cube,0,0,0,2,2,0,1
4,98,old,0,wrong cube,2,1,0,2,4,0,1
4,99,old,0,wrong cube,0,0,0,1,3,0,2
4,100,old,0,wrong cube,1,0,0,1,2,0,2
